Timestamp,Start,Subscribe to,Get step,Stop
16:44:10 +541,1.0,,,
16:44:10 +544,,Measurement 1000,,
16:44:18 +552,,,3,
16:44:25 +557,,,3,
16:44:30 +563,,,0,
16:44:35 +568,,,1,
16:44:42 +577,,,1,
16:44:47 +583,,,2,
16:44:52 +588,,,3,
16:44:59 +598,,,3,
16:45:04 +604,,,0,
16:45:09 +607,,,1,
16:45:16 +616,,,1,
16:45:21 +622,,,2,
16:45:26 +627,,,3,
16:45:33 +637,,,3,
16:45:38 +642,,,0,
16:45:43 +648,,,1,
16:45:50 +657,,,1,
16:45:55 +658,,,2,
16:46:00 +664,,,3,
16:46:06 +671,,,0,
16:46:13 +680,,,0,
16:46:18 +686,,,1,
16:46:24 +692,,,2,
16:46:31 +702,,,2,
16:46:36 +707,,,3,
16:46:41 +713,,,0,
16:46:46 +719,,,1,
16:46:53 +728,,,1,
16:46:58 +732,,,2,
16:47:04 +738,,,3,
16:47:11 +748,,,3,
16:47:16 +753,,,0,
16:47:21 +758,,,1,
16:47:28 +767,,,1,
16:47:33 +773,,,2,
16:47:38 +779,,,3,
16:47:45 +788,,,3,
16:47:50 +793,,,0,
16:47:55 +798,,,1,
16:48:02 +808,,,1,
16:48:07 +811,,,2,
16:48:12 +815,,,3,
16:48:18 +822,,,0,
16:48:25 +828,,,0,
16:48:30 +833,,,1,
16:48:36 +841,,,2,
16:48:43 +850,,,2,
16:48:48 +856,,,3,
16:48:53 +860,,,0,
16:48:58 +866,,,1,
16:49:05 +870,,,1,
16:49:10 +875,,,2,
16:49:16 +880,,,3,
16:49:23 +889,,,3,
16:49:28 +895,,,0,
16:49:33 +898,,,1,
16:49:40 +908,,,1,
16:49:45 +914,,,2,
16:49:50 +919,,,3,
16:49:57 +924,,,3,
16:50:02 +929,,,0,
16:50:07 +935,,,1,
16:50:14 +944,,,1,
16:50:19 +948,,,2,
16:50:24 +954,,,3,
16:50:30 +961,,,0,
16:50:37 +970,,,0,
16:50:42 +976,,,1,
16:50:48 +984,,,2,
16:50:55 +993,,,2,
16:51:00 +999,,,3,
16:51:06 +4,,,0,
16:51:11 +7,,,1,
16:51:18 +16,,,1,
16:51:23 +22,,,2,
16:51:29 +28,,,3,
16:51:36 +38,,,3,
16:51:41 +43,,,0,
16:51:46 +49,,,1,
16:51:53 +58,,,1,
16:51:58 +64,,,2,
16:52:03 +66,,,3,
16:52:10 +76,,,3,
16:52:15 +81,,,0,
16:52:20 +87,,,1,
16:52:27 +96,,,1,
16:52:32 +101,,,2,
16:52:37 +107,,,3,
16:52:43 +114,,,0,
16:52:50 +124,,,0,
16:52:55 +129,,,1,
16:53:01 +136,,,2,
16:53:08 +145,,,2,
16:53:13 +151,,,3,
16:53:18 +156,,,0,
16:53:23 +162,,,1,
16:53:30 +171,,,1,
16:53:35 +173,,,2,
16:53:41 +176,,,3,
16:53:48 +185,,,3,
16:53:53 +191,,,0,
16:53:58 +196,,,1,
16:54:05 +206,,,1,
16:54:10 +211,,,2,
16:54:15 +217,,,3,
16:54:22 +225,,,3,
16:54:27 +231,,,0,
16:54:32 +237,,,1,
16:54:39 +246,,,1,
16:54:44 +252,,,2,
16:54:49 +253,,,3,
16:54:55 +261,,,0,
16:54:58 +491,,,,1.0
