Timestamp,Start,Start RPC server,Step,Subscribe,Measurement,Check subscriptions,Keep-alive,Stop
00:13:06 +849,1.0,,,,,,,
00:13:06 +850,,1.0,,,,,,
00:13:07 +851,,,1.0,,,,,
00:13:13 +860,,,,1000,,,,
00:13:13 +861,,,,999,,,,
00:13:19 +867,,,2.0,,,,,
00:13:21 +870,,,,,2.2,,,
00:13:27 +876,,,3.0,,,,,
00:13:34 +883,,,,,,3.2,,
00:13:40 +889,,,0.0,,,,,
00:13:42 +891,,,,,,,0.2,
00:13:48 +896,,,1.0,,,,,
00:13:54 +899,,,,999,,,,
00:13:54 +900,,,,998,,,,
00:14:00 +906,,,2.0,,,,,
00:14:02 +908,,,,,2.2,,,
00:14:06 +873,,,,,,,,1.0
