Timestamp,Start,Subscribe to 1000,Get step,Stop
14:38:31 +131,1.0,,,
14:38:31 +134,,3.2,,
14:38:39 +145,,,2,
14:38:44 +150,,,3,
14:38:51 +160,,,3,
14:38:56 +165,,,0,
14:39:01 +167,,,1,
14:39:07 +174,,,2,
14:39:14 +182,,,2,
14:39:19 +188,,,3,
14:39:24 +193,,,0,
14:39:29 +199,,,1,
14:39:35 +206,,,2,
14:39:42 +216,,,2,
14:39:47 +221,,,3,
14:39:52 +227,,,0,
14:39:57 +233,,,1,
14:40:03 +240,,,2,
14:40:10 +250,,,2,
14:40:15 +255,,,3,
14:40:20 +261,,,0,
14:40:25 +267,,,1,
14:40:31 +274,,,2,
14:40:38 +284,,,2,
14:40:43 +289,,,3,
14:40:48 +295,,,0,
14:40:53 +298,,,1,
14:40:59 +306,,,2,
14:41:06 +316,,,2,
14:41:11 +321,,,3,
14:41:16 +327,,,0,
14:41:21 +332,,,1,
14:41:27 +339,,,2,
14:41:34 +345,,,2,
14:41:39 +350,,,3,
14:41:44 +356,,,0,
14:41:49 +362,,,1,
14:41:55 +369,,,2,
14:42:02 +377,,,2,
14:42:07 +383,,,3,
14:42:12 +388,,,0,
14:42:17 +393,,,1,
14:42:23 +400,,,2,
14:42:30 +409,,,2,
14:42:35 +411,,,3,
14:42:38 +807,,,,1.0
